-40.0	5.0	1.0
-13.0	13.0	1.0
-75.0	75.0	5.0
0.0	0.0	-69.99937
x        y        z        Bx        By        Bz
-37 -12 -75 4.4050340642e-06 -8.2885601224e-06 1.27979123149e-05
-36 -12 -75 4.09912353914e-06 -8.5085558033e-06 1.33268892205e-05
-35 -12 -75 3.75631461787e-06 -8.7043038799e-06 1.38195298793e-05
-34 -12 -75 3.38501715016e-06 -8.8785944551e-06 1.42596454883e-05
-33 -12 -75 2.99094579764e-06 -9.0391881696e-06 1.46693157412e-05
-32 -12 -75 2.5866521901e-06 -9.1734878839e-06 1.50432053303e-05
-31 -12 -75 2.12414402689e-06 -9.2963470589e-06 1.53482023531e-05
-30 -12 -75 1.67991902678e-06 -9.3708792849e-06 1.56185685305e-05
-29 -12 -75 1.22700593935e-06 -9.4557781028e-06 1.58393108963e-05
-28 -12 -75 7.37349643464e-07 -9.4899711312e-06 1.60029523366e-05
-27 -12 -75 2.45015743389e-07 -9.5026360933e-06 1.6143906416e-05
-26 -12 -75 -2.4413079321e-07 -9.4866731176e-06 1.62083252614e-05
-25 -12 -75 -7.5703014952e-07 -9.4552720645e-06 1.62503385408e-05
-24 -12 -75 -1.2817837861e-06 -9.376471814e-06 1.62376611126e-05
-23 -12 -75 -1.8118261419e-06 -9.2797962782e-06 1.61775644502e-05
-22 -12 -75 -2.3378963054e-06 -9.1769365572e-06 1.60454497123e-05
-21 -12 -75 -2.8777843734e-06 -9.0190524058e-06 1.58807420617e-05
-20 -12 -75 -3.421914957e-06 -8.8526175158e-06 1.56496489684e-05
-19 -12 -75 -3.9610040684e-06 -8.6296929515e-06 1.53848446206e-05
-18 -12 -75 -4.5046445964e-06 -8.3969867465e-06 1.50509217537e-05
-17 -12 -75 -5.0530319814e-06 -8.1451066316e-06 1.46496367518e-05
-16 -12 -75 -5.6094304959e-06 -7.8438128483e-06 1.42229572223e-05
-15 -12 -75 -6.1525075189e-06 -7.5271786321e-06 1.37075265902e-05
-14 -12 -75 -6.6855673733e-06 -7.1811466141e-06 1.31464902888e-05
-13 -12 -75 -7.2034572898e-06 -6.7961380974e-06 1.25182941981e-05
-12 -12 -75 -7.7148129701e-06 -6.3910954406e-06 1.18363137673e-05
-11 -12 -75 -8.1947941847e-06 -5.9577584727e-06 1.10939818396e-05
-10 -12 -75 -8.6499555149e-06 -5.5092682152e-06 1.02928470663e-05
-9 -12 -75 -9.0663170299e-06 -5.039915355e-06 9.41298911944e-06
-8 -12 -75 -9.4793684923e-06 -4.544172977e-06 8.52409614013e-06
-7 -12 -75 -9.8336280509e-06 -4.0020229773e-06 7.55687351525e-06
-6 -12 -75 -1.0163222609e-05 -3.4745520652e-06 6.56373703511e-06
-5 -12 -75 -1.0441727682e-05 -2.9271733442e-06 5.51609092246e-06
-4 -12 -75 0 0 0
-3 -12 -75 0 0 0
-2 -12 -75 0 0 0
-1 -12 -75 0 0 0
0 -12 -75 0 0 0
1 -12 -75 0 0 0
2 -12 -75 0 0 0
3 -12 -75 0 0 0
4 -12 -75 0 0 0
5 -12 -75 -1.0441727682e-05 2.9271733442e-06 -5.5160909225e-06
6 -12 -75 -1.0163222609e-05 3.47455206518e-06 -6.5637370351e-06
7 -12 -75 -9.8336280509e-06 4.00202297727e-06 -7.5568735153e-06
8 -12 -75 -9.4793684923e-06 4.544172977e-06 -8.5240961401e-06
9 -12 -75 -9.0663170299e-06 5.03991535503e-06 -9.4129891194e-06
10 -12 -75 -8.6499555149e-06 5.50926821519e-06 -1.0292847066e-05
11 -12 -75 -8.1947941847e-06 5.95775847272e-06 -1.109398184e-05
12 -12 -75 -7.7148129701e-06 6.39109544064e-06 -1.1836313767e-05
13 -12 -75 -7.2034572898e-06 6.79613809736e-06 -1.2518294198e-05
14 -12 -75 -6.6855673733e-06 7.18114661408e-06 -1.3146490289e-05
15 -12 -75 -6.1525075189e-06 7.52717863213e-06 -1.370752659e-05
16 -12 -75 -5.6094304959e-06 7.84381284832e-06 -1.4222957222e-05
17 -12 -75 -5.0530319814e-06 8.14510663159e-06 -1.4649636752e-05
18 -12 -75 -4.5046445964e-06 8.39698674646e-06 -1.5050921754e-05
19 -12 -75 -3.9610040684e-06 8.6296929515e-06 -1.5384844621e-05
20 -12 -75 -3.421914957e-06 8.85261751576e-06 -1.5649648968e-05
21 -12 -75 -2.8777843734e-06 9.01905240585e-06 -1.5880742062e-05
22 -12 -75 -2.3378963054e-06 9.1769365572e-06 -1.6045449712e-05
23 -12 -75 -1.8118261419e-06 9.27979627816e-06 -1.617756445e-05
24 -12 -75 -1.2817837861e-06 9.37647181399e-06 -1.6237661113e-05
25 -12 -75 -7.5703014952e-07 9.45527206452e-06 -1.6250338541e-05
26 -12 -75 -2.4413079321e-07 9.48667311758e-06 -1.6208325261e-05
27 -12 -75 2.45015743389e-07 9.5026360933e-06 -1.6143906416e-05
