E=550
    2.00    .12894E+07    .61104E+01    .17614E-07   -.16283E-06    .34869E-01
    2.20    .87651E+06    .59428E+01    .26353E-07    .36860E-06    .38352E-01
    2.40    .61435E+06    .57884E+01    .36339E-07    .13474E-06    .41837E-01
    2.60    .44159E+06    .56450E+01    .47488E-07   -.33375E-06    .45322E-01
    2.80    .32418E+06    .55108E+01    .59721E-07   -.65452E-08    .48805E-01
    3.00    .24225E+06    .53843E+01    .72962E-07    .25209E-06    .52288E-01
    3.20    .18380E+06    .52643E+01    .87139E-07   -.10926E-06    .55771E-01
    3.40    .14127E+06    .51501E+01    .10219E-06   -.22865E-06    .59252E-01
    3.60    .10982E+06    .50407E+01    .11804E-06    .55232E-07    .62733E-01
    3.80    .86201E+05    .49355E+01    .13465E-06    .24846E-07    .66213E-01
    4.00    .68242E+05    .48341E+01    .15195E-06   -.22629E-06    .69693E-01
    4.20    .54430E+05    .47358E+01    .16988E-06   -.16789E-06    .73172E-01
    4.40    .43698E+05    .46405E+01    .18841E-06   -.34157E-07    .76649E-01
    4.60    .35285E+05    .45476E+01    .20747E-06   -.17205E-06    .80126E-01
    4.80    .28636E+05    .44569E+01    .22702E-06   -.28944E-06    .83602E-01
    5.00    .23345E+05    .43682E+01    .24701E-06   -.19759E-06    .87077E-01
    5.20    .19106E+05    .42812E+01    .26739E-06   -.19070E-06    .90551E-01
    5.40    .15691E+05    .41957E+01    .28811E-06   -.33182E-06    .94023E-01
    5.60    .12926E+05    .41115E+01    .30911E-06   -.35954E-06    .97495E-01
    5.80    .10677E+05    .40284E+01    .33035E-06   -.30306E-06    .10097E+00
    6.00    .88396E+04    .39464E+01    .35178E-06   -.37176E-06    .10443E+00
    6.20    .73334E+04    .38653E+01    .37332E-06   -.47535E-06    .10790E+00
    6.40    .60945E+04    .37849E+01    .39494E-06   -.46482E-06    .11137E+00
    6.60    .50726E+04    .37052E+01    .41656E-06   -.46469E-06    .11483E+00
    6.80    .42274E+04    .36261E+01    .43812E-06   -.56378E-06    .11830E+00
    7.00    .35269E+04    .35474E+01    .45955E-06   -.62606E-06    .12176E+00
    7.20    .29451E+04    .34691E+01    .48079E-06   -.61795E-06    .12522E+00
    7.40    .24611E+04    .33911E+01    .50175E-06   -.66989E-06    .12868E+00
    7.60    .20578E+04    .33134E+01    .52237E-06   -.76974E-06    .13214E+00
    7.80    .17213E+04    .32359E+01    .54256E-06   -.80602E-06    .13559E+00
    8.00    .14404E+04    .31585E+01    .56224E-06   -.82625E-06    .13905E+00
    8.20    .12056E+04    .30812E+01    .58133E-06   -.91531E-06    .14250E+00
    8.40    .10092E+04    .30040E+01    .59974E-06   -.10031E-05    .14595E+00
    8.60    .84492E+03    .29268E+01    .61739E-06   -.10364E-05    .14940E+00
    8.80    .70741E+03    .28497E+01    .63420E-06   -.10970E-05    .15285E+00
    9.00    .59231E+03    .27725E+01    .65008E-06   -.12069E-05    .15629E+00
    9.20    .49595E+03    .26954E+01    .66498E-06   -.12847E-05    .15974E+00
    9.40    .41530E+03    .26184E+01    .67885E-06   -.13378E-05    .16318E+00
    9.60    .34781E+03    .25413E+01    .69164E-06   -.14391E-05    .16662E+00
    9.80    .29135E+03    .24644E+01    .70335E-06   -.15579E-05    .17006E+00
   10.00    .24415E+03    .23876E+01    .71400E-06   -.16380E-05    .17349E+00
   10.20    .20469E+03    .23111E+01    .72366E-06   -.17268E-05    .17693E+00
   10.40    .17174E+03    .22349E+01    .73245E-06   -.18600E-05    .18036E+00
   10.60    .14422E+03    .21590E+01    .74055E-06   -.19820E-05    .18379E+00
   10.80    .12127E+03    .20837E+01    .74824E-06   -.20787E-05    .18721E+00
   11.00    .10213E+03    .20091E+01    .75585E-06   -.22043E-05    .19064E+00
   11.20    .86176E+02    .19354E+01    .76382E-06   -.23517E-05    .19406E+00
   11.40    .72888E+02    .18627E+01    .77270E-06   -.24730E-05    .19748E+00
   11.60    .61822E+02    .17911E+01    .78311E-06   -.25884E-05    .20090E+00
   11.80    .52608E+02    .17210E+01    .79577E-06   -.27293E-05    .20431E+00
   12.00    .44934E+02    .16526E+01    .81143E-06   -.28638E-05    .20773E+00
   12.20    .38540E+02    .15859E+01    .83089E-06   -.29724E-05    .21114E+00
