E=550
    2.00    .12894E+07    .61104E+01    .17835E-07   -.16283E-06    .34869E-01
    2.20    .87651E+06    .59428E+01    .26581E-07    .36860E-06    .38352E-01
    2.40    .61435E+06    .57884E+01    .36560E-07    .13474E-06    .41837E-01
    2.60    .44159E+06    .56450E+01    .47689E-07   -.33375E-06    .45322E-01
    2.80    .32418E+06    .55108E+01    .59886E-07   -.65452E-08    .48805E-01
    3.00    .24225E+06    .53843E+01    .73072E-07    .25209E-06    .52288E-01
    3.20    .18380E+06    .52643E+01    .87176E-07   -.10926E-06    .55771E-01
    3.40    .14127E+06    .51501E+01    .10213E-06   -.22865E-06    .59252E-01
    3.60    .10982E+06    .50407E+01    .11787E-06    .55232E-07    .62733E-01
    3.80    .86201E+05    .49355E+01    .13433E-06    .24846E-07    .66213E-01
    4.00    .68242E+05    .48341E+01    .15145E-06   -.22629E-06    .69693E-01
    4.20    .54430E+05    .47358E+01    .16919E-06   -.16789E-06    .73172E-01
    4.40    .43698E+05    .46405E+01    .18748E-06   -.34157E-07    .76649E-01
    4.60    .35285E+05    .45476E+01    .20628E-06   -.17205E-06    .80126E-01
    4.80    .28636E+05    .44569E+01    .22553E-06   -.28944E-06    .83602E-01
    5.00    .23345E+05    .43682E+01    .24518E-06   -.19759E-06    .87077E-01
    5.20    .19106E+05    .42812E+01    .26519E-06   -.19070E-06    .90551E-01
    5.40    .15691E+05    .41957E+01    .28549E-06   -.33182E-06    .94023E-01
    5.60    .12926E+05    .41115E+01    .30604E-06   -.35954E-06    .97495E-01
    5.80    .10677E+05    .40284E+01    .32678E-06   -.30306E-06    .10097E+00
    6.00    .88396E+04    .39464E+01    .34766E-06   -.37176E-06    .10443E+00
    6.20    .73334E+04    .38653E+01    .36862E-06   -.47535E-06    .10790E+00
    6.40    .60945E+04    .37849E+01    .38960E-06   -.46482E-06    .11137E+00
    6.60    .50726E+04    .37052E+01    .41053E-06   -.46469E-06    .11483E+00
    6.80    .42274E+04    .36261E+01    .43136E-06   -.56378E-06    .11830E+00
    7.00    .35269E+04    .35474E+01    .45202E-06   -.62606E-06    .12176E+00
    7.20    .29451E+04    .34691E+01    .47243E-06   -.61795E-06    .12522E+00
    7.40    .24611E+04    .33911E+01    .49252E-06   -.66989E-06    .12868E+00
    7.60    .20578E+04    .33134E+01    .51223E-06   -.76974E-06    .13214E+00
    7.80    .17213E+04    .32359E+01    .53146E-06   -.80602E-06    .13559E+00
    8.00    .14404E+04    .31585E+01    .55015E-06   -.82625E-06    .13905E+00
    8.20    .12056E+04    .30812E+01    .56821E-06   -.91531E-06    .14250E+00
    8.40    .10092E+04    .30040E+01    .58557E-06   -.10031E-05    .14595E+00
    8.60    .84492E+03    .29268E+01    .60216E-06   -.10364E-05    .14940E+00
    8.80    .70741E+03    .28497E+01    .61789E-06   -.10970E-05    .15285E+00
    9.00    .59231E+03    .27725E+01    .63271E-06   -.12069E-05    .15629E+00
    9.20    .49595E+03    .26954E+01    .64656E-06   -.12847E-05    .15974E+00
    9.40    .41530E+03    .26184E+01    .65942E-06   -.13378E-05    .16318E+00
    9.60    .34781E+03    .25413E+01    .67126E-06   -.14391E-05    .16662E+00
    9.80    .29135E+03    .24644E+01    .68210E-06   -.15579E-05    .17006E+00    
   10.00    .24415E+03    .23876E+01    .69199E-06   -.16380E-05    .17349E+00
   10.20    .20469E+03    .23111E+01    .70103E-06   -.17268E-05    .17693E+00
   10.40    .17174E+03    .22349E+01    .70938E-06   -.18600E-05    .18036E+00
   10.60    .14422E+03    .21590E+01    .71724E-06   -.19820E-05    .18379E+00
   10.80    .12127E+03    .20837E+01    .72493E-06   -.20787E-05    .18721E+00
   11.00    .10213E+03    .20091E+01    .73282E-06   -.22043E-05    .19064E+00
   11.20    .86176E+02    .19354E+01    .74138E-06   -.23517E-05    .19406E+00
   11.40    .72888E+02    .18627E+01    .75119E-06   -.24730E-05    .19748E+00
   11.60    .61822E+02    .17911E+01    .76289E-06   -.25884E-05    .20090E+00
   11.80    .52608E+02    .17210E+01    .77719E-06   -.27293E-05    .20431E+00
   12.00    .44934E+02    .16526E+01    .79487E-06   -.28638E-05    .20773E+00
   12.20    .38540E+02    .15859E+01    .81668E-06   -.29724E-05    .21114E+00
   12.40    .33209E+02    .15213E+01    .84333E-06   -.30829E-05    .21454E+00
   12.60    .28758E+02    .14588E+01    .87544E-06   -.31963E-05    .21795E+00
   12.80    .25035E+02    .13986E+01    .91347E-06   -.32863E-05    .22135E+00
   13.00    .21913E+02    .13407E+01    .95769E-06   -.33574E-05    .22475E+00
   13.20    .19287E+02    .12853E+01    .10081E-05   -.34222E-05    .22815E+00
   13.40    .17070E+02    .12322E+01    .10645E-05   -.34705E-05    .23154E+00
   13.60    .15188E+02    .11815E+01    .11264E-05   -.34988E-05    .23493E+00
   13.80    .13582E+02    .11330E+01    .11932E-05   -.35135E-05    .23832E+00
   14.00    .12204E+02    .10865E+01    .12639E-05   -.35118E-05    .24171E+00
   14.20    .11012E+02    .10418E+01    .13378E-05   -.34964E-05    .24509E+00
   14.40    .99732E+01    .99883E+00    .14138E-05   -.34752E-05    .24847E+00
   14.60    .90614E+01    .95720E+00    .14910E-05   -.34407E-05    .25185E+00
   14.80    .82545E+01    .91669E+00    .15684E-05   -.33923E-05    .25522E+00
   15.00    .75347E+01    .87707E+00    .16453E-05   -.33475E-05    .25859E+00
E=600 
    2.00    .10772E+07    .60323E+01    .25560E-07   -.15999E-06    .34871E-01
    2.20    .72987E+06    .58632E+01    .36334E-07    .35158E-06    .38355E-01
